来自资产处,,,,,,,,,,,,来自档案馆,,,,来自基建处,,,汇总结论,
,房屋,所属楼层,房号,名称,房间用途,使用部门,使用人,"建筑面积
(㎡)","使用面积
(㎡)","实际使用人
数(人)",备注,楼栋,"规划许可证
功能用途",竣工验收报告功能属性,消防合格书功能认定,"施工图
消防定性",,,"是否为稀缺性
功能空间",
,蒙民伟楼(科技二期科技馆、科技大楼南楼),14层,1413,普通实验室、实习场所,专用科研用房,工程管理学院,刘慧敏,96.27,53.00,1,使用期限2年（自2021.10.15开始）,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),14层,1414,普通实验室、实习场所,专用科研用房,工程管理学院,程书萍,48.13,26.50,1,使用期限2年（自2021.10.15开始）,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),14层,1415,正教授工作室,正教授工作室,现代工程与应用科学学院,,48.13,26.50,,库房,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),14层,1416,普通实验室、实习场所,专用科研用房,工程管理学院,梁茹,99.36,54.70,1,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),15层,1501,1501,普通教室,南京大学长江产业经济研究院,,104.44,57.50,,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),15层,1502,1502,普通教室,南京大学长江产业经济研究院,,66.65,36.70,,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),15层,1503,1503,普通教室,南京大学长江产业经济研究院,,58.84,32.40,,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),15层,1504,1504,普通教室,南京大学长江产业经济研究院,,112.43,61.90,,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),15层,1505,1505,普通教室,南京大学长江产业经济研究院,,98.99,54.50,,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),15层,1506,1506,普通教室,南京大学长江产业经济研究院,,47.94,26.40,,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),15层,1507,1507,普通教室,南京大学长江产业经济研究院,,47.94,26.40,,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),15层,1508,1508,普通教室,南京大学长江产业经济研究院,,52.49,28.90,,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),15层,1509,1509,普通教室,南京大学长江产业经济研究院,,43.77,24.10,,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),15层,1510,1510,普通教室,南京大学长江产业经济研究院,,101.17,55.70,,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),15层,1511,1511,普通教室,南京大学长江产业经济研究院,,110.43,60.80,,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),15层,1512,1512,普通教室,南京大学长江产业经济研究院,,114.07,62.80,,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),15层,1513,1513,普通教室,南京大学长江产业经济研究院,,96.27,53.00,,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),15层,1514,1514,普通教室,南京大学长江产业经济研究院,,48.13,26.50,,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),15层,1515,1515,普通教室,南京大学长江产业经济研究院,,48.13,26.50,,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),15层,1516,1516,普通教室,南京大学长江产业经济研究院,,52.30,28.80,,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),15层,1517,1517,普通教室,南京大学长江产业经济研究院,,43.77,24.10,,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),16层,1601,1601,普通教室,南京大学长江产业经济研究院,,104.44,57.50,,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),16层,1602,1602,普通教室,南京大学长江产业经济研究院,,66.65,36.70,,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),16层,1603,1603,普通教室,南京大学长江产业经济研究院,,58.84,32.40,,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),16层,1604,1604,普通教室,南京大学长江产业经济研究院,,112.61,62.00,,,,,,,,,,,
